num_tiles,noise,losses,accuracies
1,0.0,"[0.33041951060295105, 0.6936761140823364, 0.34168174862861633, 0.3367782235145569, 0.4225500822067261, 0.4129190146923065, 0.3203335106372833, 0.35535290837287903, 0.33985352516174316, 0.37109261751174927]","[0.887, 0.7153333333333334, 0.877, 0.8696666666666667, 0.8106666666666666, 0.825, 0.876, 0.8716666666666667, 0.8833333333333333, 0.8706666666666667]"
1,0.02,"[0.3559197187423706, 0.3331115245819092, 0.329363614320755, 0.3158642053604126, 0.3229532539844513, 0.3699987530708313, 0.3473326861858368, 0.43869033455848694, 0.4127092957496643, 0.4207780063152313]","[0.8643333333333333, 0.877, 0.8736666666666667, 0.8823333333333333, 0.8913333333333333, 0.8543333333333333, 0.8673333333333333, 0.798, 0.8363333333333334, 0.8243333333333334]"
1,0.04,"[0.3404509425163269, 0.34388118982315063, 0.37444624304771423, 0.3468260169029236, 0.37053608894348145, 0.37801051139831543, 0.33597856760025024, 0.36444684863090515, 0.3615116775035858, 0.5499623417854309]","[0.863, 0.8673333333333333, 0.854, 0.8763333333333333, 0.8453333333333334, 0.8613333333333333, 0.871, 0.8553333333333333, 0.846, 0.7656666666666667]"
1,0.06,"[0.42376604676246643, 0.3956799805164337, 0.47958919405937195, 0.481230229139328, 0.37740668654441833, 0.5596461296081543, 0.423147052526474, 0.3993326723575592, 0.3853549659252167, 0.3821796774864197]","[0.8163333333333334, 0.828, 0.8036666666666666, 0.8026666666666666, 0.858, 0.7516666666666667, 0.808, 0.825, 0.8343333333333334, 0.861]"
1,0.08,"[0.40042752027511597, 0.44445177912712097, 0.44345706701278687, 0.40902742743492126, 0.40198108553886414, 0.4302443861961365, 0.393473744392395, 0.4253505766391754, 0.4351351261138916, 0.40390652418136597]","[0.8193333333333334, 0.7893333333333333, 0.8063333333333333, 0.8286666666666667, 0.833, 0.82, 0.83, 0.8266666666666667, 0.8186666666666667, 0.8486666666666667]"
1,0.1,"[0.45563068985939026, nan, 0.5074490308761597, 0.5810685753822327, 0.4810350239276886, 0.4555973410606384, 0.48190584778785706, 0.45806893706321716, 0.5400516986846924, 0.45258963108062744]","[0.8073333333333333, 0.3333333333333333, 0.7826666666666666, 0.7746666666666666, 0.7716666666666666, 0.807, 0.7796666666666666, 0.8043333333333333, 0.748, 0.82]"
4,0.0,"[0.3785891830921173, 0.38921329379081726, 0.4077034592628479, 0.3713865876197815, 0.38964733481407166, 0.4082092344760895, 0.3588181138038635, 0.3755851984024048, 0.38751021027565, 0.4557279348373413]","[0.8716666666666667, 0.8453333333333334, 0.835, 0.857, 0.8633333333333333, 0.8416666666666667, 0.863, 0.859, 0.8643333333333333, 0.8193333333333334]"
4,0.02,"[0.3691085875034332, 0.36354586482048035, 0.3900849521160126, 0.397775799036026, 0.372378408908844, 0.37593916058540344, 0.4232180118560791, 0.36288541555404663, 0.3738415539264679, 0.4074462354183197]","[0.851, 0.8773333333333333, 0.8616666666666667, 0.8483333333333334, 0.8673333333333333, 0.8663333333333333, 0.8516666666666667, 0.8693333333333333, 0.8533333333333334, 0.839]"
4,0.04,"[0.3751292824745178, 0.3803246319293976, 0.38709673285484314, 0.3941522538661957, 0.3818812668323517, 0.36157315969467163, 0.3733195662498474, 0.4094046354293823, 0.4238308072090149, 0.38970983028411865]","[0.873, 0.8596666666666667, 0.8423333333333334, 0.8296666666666667, 0.8506666666666667, 0.86, 0.8606666666666667, 0.839, 0.8063333333333333, 0.854]"
4,0.06,"[0.4088589549064636, 0.429839551448822, 0.3994789123535156, 0.399265855550766, 0.4471384286880493, 0.41030046343803406, 0.38951197266578674, 0.40647655725479126, 0.40746527910232544, 0.41813594102859497]","[0.833, 0.8296666666666667, 0.853, 0.854, 0.8186666666666667, 0.829, 0.8496666666666667, 0.822, 0.8553333333333333, 0.8526666666666667]"
4,0.08,"[0.42681726813316345, 0.42601123452186584, 0.43959784507751465, 0.45075511932373047, 0.4311641752719879, 0.5757290124893188, 0.43828731775283813, 0.46853235363960266, 0.4409814178943634, 0.4425661265850067]","[0.816, 0.83, 0.814, 0.8113333333333334, 0.8236666666666667, 0.7313333333333333, 0.8443333333333334, 0.784, 0.7996666666666666, 0.8043333333333333]"
4,0.1,"[0.46672356128692627, 0.4714341163635254, 0.4794731140136719, 0.4666668176651001, 0.5101972818374634, 0.5028300285339355, 0.47245198488235474, 0.473551481962204, 0.5222410559654236, 0.4903748631477356]","[0.8016666666666666, 0.8193333333333334, 0.773, 0.8166666666666667, 0.7843333333333333, 0.793, 0.801, 0.797, 0.7346666666666667, 0.7826666666666666]"
16,0.0,"[0.4186211824417114, 0.3974042534828186, 0.4114033579826355, 0.4201231598854065, 0.41421741247177124, 0.39510494470596313, 0.3931138515472412, 0.4029752314090729, 0.4087662398815155, 0.47285696864128113]","[0.849, 0.8553333333333333, 0.831, 0.8456666666666667, 0.8296666666666667, 0.8423333333333334, 0.8596666666666667, 0.838, 0.841, 0.7636666666666667]"
16,0.02,"[0.3992326259613037, 0.4261561334133148, 0.3903886377811432, 0.38828420639038086, 0.40341290831565857, 0.3994441628456116, 0.41894909739494324, 0.39181727170944214, 0.4752497971057892, 0.3947250247001648]","[0.8673333333333333, 0.8486666666666667, 0.8503333333333334, 0.8603333333333333, 0.8616666666666667, 0.852, 0.8353333333333334, 0.8536666666666667, 0.775, 0.851]"
16,0.04,"[0.42908424139022827, 0.4167827069759369, 0.3944324254989624, 0.39808088541030884, 0.40874072909355164, 0.3958609998226166, 0.4318416714668274, 0.43035829067230225, 0.42857682704925537, 0.3895587623119354]","[0.8486666666666667, 0.8503333333333334, 0.8526666666666667, 0.8526666666666667, 0.8406666666666667, 0.854, 0.829, 0.8413333333333334, 0.8283333333333334, 0.8646666666666667]"
16,0.06,"[0.42210692167282104, 0.4194200336933136, 0.4530259668827057, 0.4547809362411499, 0.4117235541343689, 0.4170105457305908, 0.43052124977111816, 0.44606226682662964, 0.42234015464782715, 0.46839579939842224]","[0.8343333333333334, 0.8303333333333334, 0.7986666666666666, 0.796, 0.839, 0.854, 0.816, 0.845, 0.8093333333333333, 0.7973333333333333]"
16,0.08,"[0.4569103717803955, 0.4501548111438751, 0.42940983176231384, 0.49355342984199524, 0.498993843793869, 0.4820294976234436, 0.48239466547966003, 0.4793146252632141, 0.44437745213508606, 0.46142688393592834]","[0.837, 0.7903333333333333, 0.8483333333333334, 0.763, 0.7856666666666666, 0.8053333333333333, 0.7876666666666666, 0.7776666666666666, 0.809, 0.824]"
16,0.1,"[0.49017465114593506, 0.47169920802116394, 0.5031793117523193, 0.49045810103416443, 0.4790571630001068, 0.5316317677497864, 0.5036959052085876, 0.4892091453075409, 0.4857883155345917, nan]","[0.7633333333333333, 0.8013333333333333, 0.789, 0.806, 0.787, 0.7683333333333333, 0.7723333333333333, 0.8036666666666666, 0.7963333333333333, 0.3333333333333333]"
64,0.0,"[0.40250688791275024, 0.3843109607696533, 0.40336140990257263, 0.4260779321193695, 0.42800208926200867, 0.4076138436794281, 0.4187946319580078, 0.40174975991249084, 0.43414440751075745, 0.4368024468421936]","[0.854, 0.867, 0.8336666666666667, 0.838, 0.848, 0.853, 0.8386666666666667, 0.8416666666666667, 0.8333333333333334, 0.8433333333333334]"
64,0.02,"[0.46356314420700073, 0.43977323174476624, 0.4076193571090698, 0.39970630407333374, 0.4211304783821106, 0.39885208010673523, 0.38762980699539185, 0.4435577392578125, 0.41632428765296936, 0.4159063398838043]","[0.7576666666666667, 0.8293333333333334, 0.8563333333333333, 0.8606666666666667, 0.854, 0.8563333333333333, 0.8556666666666667, 0.8043333333333333, 0.8203333333333334, 0.8353333333333334]"
64,0.04,"[0.4362058639526367, 0.41949811577796936, 0.448202520608902, 0.4318467974662781, 0.4358004927635193, 0.43274572491645813, 0.42305612564086914, 0.42533430457115173, 0.4222068786621094, 0.42699193954467773]","[0.815, 0.8506666666666667, 0.8346666666666667, 0.837, 0.8253333333333334, 0.8366666666666667, 0.8533333333333334, 0.837, 0.8463333333333334, 0.8406666666666667]"
64,0.06,"[0.45666366815567017, 0.42803406715393066, 0.4376183748245239, 0.44473201036453247, 0.4419582784175873, 0.494538813829422, 0.44104108214378357, 0.4350208640098572, 0.4604489803314209, 0.43425363302230835]","[0.8073333333333333, 0.828, 0.8363333333333334, 0.811, 0.832, 0.77, 0.829, 0.8206666666666667, 0.7896666666666666, 0.8243333333333334]"
64,0.08,"[0.45109936594963074, 0.44851139187812805, 0.44061434268951416, 0.4845845401287079, 0.4571693539619446, 0.5314106345176697, 0.4781709313392639, 0.44279035925865173, 0.4617645740509033, 0.47084957361221313]","[0.814, 0.7976666666666666, 0.815, 0.7846666666666666, 0.809, 0.7236666666666667, 0.7813333333333333, 0.8273333333333334, 0.8213333333333334, 0.8]"
64,0.1,"[0.5099819302558899, 0.5061269402503967, 0.47619614005088806, 0.4632830321788788, 0.5023232102394104, 0.49688720703125, 0.5135944485664368, 0.4731496274471283, 0.5232004523277283, 0.47195950150489807]","[0.7836666666666666, 0.765, 0.801, 0.7956666666666666, 0.7756666666666666, 0.7983333333333333, 0.7553333333333333, 0.8006666666666666, 0.75, 0.802]"
