Meta_op,Op,energy,tiles
backward,abs,18817440000.0,1
backward,act-derivative,55783679999.99999,1
backward,arithmetic,111434.4,1
backward,buffer-read,182904000.0,1
backward,buffer-write,343632000.0,1
backward,max,18817440000.0,1
backward,vector-element,37634880000.0,1
forward,abs,55852989311.99999,1
forward,activation,18840797824.0,1
forward,arithmetic,111449.25,1
forward,buffer-read,563047162.4,1
forward,buffer-write,615040894.4,1
forward,max,55852989311.99999,1
forward,vector-add,312435340.8,1
forward,vector-element,130523418623.99998,1
get_weights,vector-element,54884.2,1
program,arithmetic,16501.98,1
program,comparison,4123.02,1
program,getter_setter,5.94,1
program,loop_overhead,4123.02,1
program,pulse-generation,310838000.0,1
program,randn,144642752.0,1
program,variance,146761584.6,1
program,vector-add,0.0,1
program,vector-element,144642752.0,1
read,getter_setter,25.740000000000002,1
read,lstsq,249513523.19999996,1
read,randn,207927936.0,1
read,transpose,1379220.48,1
read,vector-element,23357823.999999996,1
transfer,abs,294179312.0,1
transfer,arithmetic,483629.85000000003,1
transfer,buffer-read,6326382.19,1
transfer,buffer-write,5421424.15,1
transfer,comparison,74289.6,1
transfer,conditional,557172.0,1
transfer,eye,385.44000000000005,1
transfer,getter_setter,37144.8,1
transfer,sum,294179312.0,1
transfer,vector-add,19513401.6,1
transfer,vector-element,1470896560.0,1
transfer,vector-mult,294179312.0,1
update,abs,74601120000.0,1
update,arithmetic,594316.8,1
update,buffer-read,562416000.0,1
update,conditional,185724.00000000003,1
update,getter_setter,111434.4,1
update,max,74601120000.0,1
update,pulse-generation,74601120000.0,1
update,vector-element,55783679999.99999,1
backward,abs,21169620000.0,4
backward,act-derivative,62756639999.99999,4
backward,arithmetic,125363.7,4
backward,buffer-read,205767000.0,4
backward,buffer-write,386586000.0,4
backward,max,21169620000.0,4
backward,vector-element,42339240000.0,4
forward,abs,63033877247.99999,4
forward,activation,21263051296.0,4
forward,arithmetic,125378.55,4
forward,buffer-read,635401210.88,4
forward,buffer-write,693888477.44,4
forward,max,63033877247.99999,4
forward,vector-add,352603363.2,4
forward,vector-element,147254980742.4,4
get_weights,vector-element,54884.2,4
program,arithmetic,121414.26000000001,4
program,comparison,30348.120000000003,4
program,getter_setter,11.88,4
program,loop_overhead,30348.120000000003,4
program,pulse-generation,1432826427.1999998,4
program,randn,431084625.59999996,4
program,variance,989355325.1999999,4
program,vector-add,4650692.640000001,4
program,vector-element,431084625.59999996,4
read,getter_setter,46.53,4
read,lstsq,374270284.79999995,4
read,randn,415855871.99999994,4
read,transpose,2068830.72,4
read,vector-element,23357823.999999996,4
transfer,abs,330951726.0,4
transfer,arithmetic,544029.75,4
transfer,buffer-read,38653491.300000004,4
transfer,buffer-write,31124955.18,4
transfer,comparison,83575.8,4
transfer,conditional,626818.5,4
transfer,eye,385.44000000000005,4
transfer,getter_setter,41787.9,4
transfer,sum,330951726.0,4
transfer,vector-add,71345874.6,4
transfer,vector-element,5626179342.0,4
transfer,vector-mult,330951726.0,4
update,abs,83926260000.0,4
update,arithmetic,668606.4,4
update,buffer-read,632718000.0,4
update,conditional,208939.50000000003,4
update,getter_setter,125363.7,4
update,max,83926260000.0,4
update,pulse-generation,83926260000.0,4
update,vector-element,62756639999.99999,4
backward,abs,24462672000.0,8
backward,act-derivative,72518784000.0,8
backward,arithmetic,144864.72,8
backward,buffer-read,237775200.0,8
backward,buffer-write,446721600.0,8
backward,max,24462672000.0,8
backward,vector-element,48925344000.0,8
forward,abs,73073258496.0,8
forward,activation,24649534592.0,8
forward,arithmetic,144879.57,8
forward,buffer-read,736190099.2,8
forward,buffer-write,803847155.2,8
forward,max,73073258496.0,8
forward,vector-add,408761126.40000004,8
forward,vector-element,170609188992.0,8
get_weights,vector-element,54884.2,8
program,arithmetic,259421.58000000002,8
program,comparison,64845.990000000005,8
program,getter_setter,19.8,8
program,loop_overhead,64845.990000000005,8
program,pulse-generation,2923332089.0,8
program,randn,433065391.99999994,8
program,variance,2109371264.3999999,8
program,vector-add,10844240.22,8
program,vector-element,433065391.99999994,8
read,getter_setter,74.25,8
read,lstsq,540612633.5999999,8
read,randn,693093119.9999999,8
read,transpose,2988311.04,8
read,vector-element,23357823.999999996,8
transfer,abs,382433105.59999996,8
transfer,arithmetic,628591.5900000001,8
transfer,buffer-read,20544889.2,8
transfer,buffer-write,20504495.82,8
transfer,comparison,96576.48000000001,8
transfer,conditional,724323.6,8
transfer,eye,385.44000000000005,8
transfer,getter_setter,48288.240000000005,8
transfer,sum,382433105.59999996,8
transfer,vector-add,158546388.0,8
transfer,vector-element,12620292484.8,8
transfer,vector-mult,382433105.59999996,8
update,abs,96981455999.99998,8
update,arithmetic,772611.8400000001,8
update,buffer-read,731140800.0,8
update,conditional,241441.2,8
update,getter_setter,144864.72,8
update,max,96981455999.99998,8
update,pulse-generation,96981455999.99998,8
update,vector-element,72518784000.0,8
backward,abs,27285288000.0,16
backward,act-derivative,80886336000.0,16
backward,arithmetic,161579.88,16
backward,buffer-read,265210800.0,16
backward,buffer-write,498266400.0,16
backward,max,27285288000.0,16
backward,vector-element,54570576000.0,16
forward,abs,81995284992.0,16
forward,activation,27659013183.999996,16
forward,arithmetic,161594.73,16
forward,buffer-read,825601798.4,16
forward,buffer-write,901134310.4,16
forward,max,81995284992.0,16
forward,vector-add,458667052.8,16
forward,vector-element,191275857983.99997,16
get_weights,vector-element,54884.2,16
program,arithmetic,529172.8200000001,16
program,comparison,132275.88,16
program,getter_setter,35.64,16
program,loop_overhead,132275.88,16
program,pulse-generation,5877795101.2,16
program,randn,430269840.0,16
program,variance,4338705619.2,16
program,vector-add,23168068.44,16
program,vector-element,430269840.0,16
read,getter_setter,129.69,16
read,lstsq,873297331.1999999,16
read,randn,1247567615.9999998,16
read,transpose,4827271.68,16
read,vector-element,23357823.999999996,16
transfer,abs,426560002.4,16
transfer,arithmetic,701198.8500000001,16
transfer,buffer-read,80972621.4,16
transfer,buffer-write,63154132.86,16
transfer,comparison,107719.92,16
transfer,conditional,807899.4,16
transfer,eye,385.44000000000005,16
transfer,getter_setter,53859.96,16
transfer,sum,426560002.4,16
transfer,vector-add,346606795.92,16
transfer,vector-element,27726400155.999996,16
transfer,vector-mult,426560002.4,16
update,abs,108171623999.99998,16
update,arithmetic,861759.36,16
update,buffer-read,815503200.0,16
update,conditional,269299.80000000005,16
update,getter_setter,161579.88,16
update,max,108171623999.99998,16
update,pulse-generation,108171623999.99998,16
update,vector-element,80886336000.0,16
backward,abs,33871391999.999996,32
backward,act-derivative,100410623999.99998,32
backward,arithmetic,200581.91999999998,32
backward,buffer-read,329227200.0,32
backward,buffer-write,618537600.0,32
backward,max,33871391999.999996,32
backward,vector-element,67742783999.99999,32
forward,abs,102628521983.99998,32
forward,activation,34618842368.0,32
forward,arithmetic,200596.77,32
forward,buffer-read,1032545996.8000001,32
forward,buffer-write,1126428620.8,32
forward,max,102628521983.99998,32
forward,vector-add,574081305.6,32
forward,vector-element,239128435967.99997,32
get_weights,vector-element,54884.2,32
program,arithmetic,1086569.22,32
program,comparison,271609.14,32
program,getter_setter,67.32000000000001,32
program,loop_overhead,271609.14,32
program,pulse-generation,11979044317.399998,32
program,randn,436085097.59999996,32
program,variance,8926060066.8,32
program,vector-add,48523752.42,32
program,vector-element,436085097.59999996,32
read,getter_setter,240.57000000000002,32
read,lstsq,1538666726.3999999,32
read,randn,2356516607.9999995,32
read,transpose,8505192.96,32
read,vector-element,23357823.999999996,32
transfer,abs,529522761.59999996,32
transfer,arithmetic,870319.89,32
transfer,buffer-read,377818366.88000005,32
transfer,buffer-write,284666084.22,32
transfer,comparison,133721.28,32
transfer,conditional,1002909.6000000001,32
transfer,eye,385.44000000000005,32
transfer,getter_setter,66860.64,32
transfer,sum,529522761.59999996,32
transfer,vector-add,851759979.8399999,32
transfer,vector-element,68308436246.399994,32
transfer,vector-mult,529522761.59999996,32
update,abs,134282015999.99998,32
update,arithmetic,1069770.24,32
update,buffer-read,1012348800.0,32
update,conditional,334303.2,32
update,getter_setter,200581.91999999998,32
update,max,134282015999.99998,32
update,pulse-generation,134282015999.99998,32
update,vector-element,100410623999.99998,32
