num_tiles,bl,digital_accuracies
1,5,"[[0.1285, 0.114, 0.1164, 0.1185, 0.1397, 0.2207, 0.4008, 0.5981, 0.7401, 0.8023, 0.8309, 0.8586, 0.8752, 0.8843, 0.8925, 0.8955, 0.8978, 0.9055, 0.9085, 0.9102, 0.9194, 0.9241, 0.9277, 0.9268, 0.9343, 0.9374, 0.9399, 0.9404, 0.943, 0.9438, 0.9457, 0.9453, 0.9484, 0.9467, 0.951, 0.9524, 0.9549, 0.9577, 0.9573, 0.9578, 0.9583, 0.9608, 0.9611, 0.961, 0.9618, 0.9616, 0.9653, 0.9654, 0.9655, 0.9656, 0.9673, 0.9666, 0.9685, 0.9681, 0.9703]]"
1,10,"[[0.1135, 0.1135, 0.1135, 0.1143, 0.1135, 0.1144, 0.2118, 0.3561, 0.6464, 0.7806, 0.8324, 0.8691, 0.8796, 0.8939, 0.8999, 0.9073, 0.9099, 0.9193, 0.922, 0.9254, 0.9288, 0.9326, 0.9355, 0.9379, 0.9412, 0.9454, 0.9482, 0.9471, 0.9524, 0.9535, 0.955, 0.9593, 0.9602, 0.9611, 0.9609, 0.9619, 0.9635, 0.9634, 0.9655, 0.9663, 0.9667, 0.9677, 0.9686, 0.9689, 0.9697, 0.9702]]"
1,31,"[[0.1135, 0.1135, 0.1135, 0.1135, 0.102, 0.1135, 0.1168, 0.1135, 0.2519, 0.6007, 0.8038, 0.8685, 0.8915, 0.9041, 0.9158, 0.9243, 0.9285, 0.9326, 0.9393, 0.9438, 0.9436, 0.9516, 0.9517, 0.955, 0.9565, 0.9586, 0.9612, 0.9633, 0.9625, 0.9657, 0.9659, 0.9672, 0.9659, 0.967, 0.9675, 0.9689, 0.9701]]"
1,100,"[[0.1135, 0.1135, 0.1135, 0.1028, 0.1028, 0.1135, 0.1135, 0.1792, 0.6422, 0.8465, 0.8878, 0.9095, 0.9218, 0.9322, 0.9368, 0.9396, 0.9482, 0.9504, 0.9536, 0.9569, 0.9606, 0.9618, 0.9623, 0.9655, 0.9662, 0.9675, 0.9662, 0.9696, 0.9692, 0.9709]]"
8,5,"[[0.1135, 0.101, 0.1135, 0.101, 0.1028, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1141, 0.1867, 0.326, 0.5816, 0.7644, 0.8252, 0.8515, 0.8657, 0.8767, 0.8829, 0.8902, 0.8991, 0.9012, 0.9069, 0.9113, 0.9129, 0.9154, 0.9177, 0.919, 0.9224, 0.9242, 0.9269, 0.9283, 0.9317, 0.9344, 0.9351, 0.9363, 0.9372, 0.9376, 0.9409, 0.9428, 0.9433, 0.9442, 0.9441, 0.9473, 0.9467, 0.9487, 0.9486, 0.9489, 0.9501, 0.9519, 0.9515, 0.9514, 0.9511, 0.9529, 0.9536, 0.9552, 0.956, 0.9572, 0.9584, 0.9588, 0.9595, 0.9595, 0.9603, 0.9601, 0.9606, 0.9612, 0.961, 0.9607, 0.9614, 0.9618, 0.9619, 0.9624, 0.9629, 0.9631, 0.9633, 0.9636, 0.9652, 0.9653, 0.9654, 0.9662, 0.9662, 0.9663, 0.9658, 0.9659, 0.9663, 0.9653, 0.9658, 0.9662, 0.967, 0.9669, 0.9676, 0.9667, 0.9666, 0.9671, 0.9672, 0.9668, 0.9669, 0.9667, 0.9677, 0.9674, 0.9668, 0.9672, 0.9673, 0.9684, 0.9683, 0.9682, 0.9692, 0.9689, 0.9686, 0.9687, 0.9688, 0.9693, 0.9691, 0.9689, 0.9685, 0.969, 0.9704]]"
8,10,"[[0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.101, 0.1009, 0.1135, 0.1135, 0.1309, 0.115, 0.1607, 0.4053, 0.666, 0.7898, 0.8442, 0.8695, 0.8876, 0.8925, 0.8993, 0.9029, 0.9089, 0.9128, 0.916, 0.92, 0.9239, 0.928, 0.9324, 0.9353, 0.9365, 0.9397, 0.9403, 0.9418, 0.944, 0.9452, 0.946, 0.9474, 0.9473, 0.949, 0.9503, 0.9509, 0.9518, 0.9539, 0.9541, 0.9556, 0.9564, 0.9563, 0.9566, 0.9569, 0.9591, 0.9589, 0.9589, 0.9609, 0.9611, 0.9606, 0.9626, 0.9616, 0.963, 0.9628, 0.9631, 0.963, 0.9633, 0.964, 0.964, 0.9643, 0.9646, 0.9651, 0.965, 0.9657, 0.9662, 0.9663, 0.9663, 0.9662, 0.9668, 0.9673, 0.9674, 0.9671, 0.9687, 0.9684, 0.969, 0.9697, 0.9686, 0.9694, 0.9704]]"
8,31,"[[0.1135, 0.1143, 0.1161, 0.1349, 0.2119, 0.3935, 0.6149, 0.7627, 0.8214, 0.8455, 0.8666, 0.8781, 0.8881, 0.8957, 0.9018, 0.9082, 0.9109, 0.9172, 0.9221, 0.925, 0.9269, 0.9308, 0.9316, 0.936, 0.9387, 0.9408, 0.9433, 0.9454, 0.9485, 0.9505, 0.9527, 0.9545, 0.9572, 0.9567, 0.959, 0.9609, 0.9612, 0.9614, 0.9622, 0.9631, 0.9634, 0.9654, 0.9664, 0.9672, 0.9671, 0.9664, 0.9687, 0.968, 0.9698, 0.969, 0.9707]]"
8,100,"[[0.1135, 0.1135, 0.1135, 0.1028, 0.1135, 0.2016, 0.1145, 0.1946, 0.3572, 0.6727, 0.8202, 0.8604, 0.8829, 0.8968, 0.9071, 0.9129, 0.9198, 0.9259, 0.9302, 0.9357, 0.9396, 0.9426, 0.9466, 0.9498, 0.9521, 0.9554, 0.9567, 0.9589, 0.9602, 0.962, 0.962, 0.9632, 0.9653, 0.9658, 0.967, 0.9675, 0.9699, 0.9723]]"
4,5,"[[0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.0984, 0.1135, 0.1135, 0.1135, 0.1171, 0.1548, 0.1947, 0.3424, 0.6046, 0.7592, 0.8287, 0.8526, 0.8678, 0.8829, 0.892, 0.8996, 0.9022, 0.9078, 0.9122, 0.9155, 0.9178, 0.9226, 0.926, 0.9293, 0.9327, 0.9318, 0.9348, 0.9358, 0.9387, 0.9407, 0.9411, 0.9431, 0.9469, 0.9479, 0.9487, 0.9509, 0.9522, 0.9533, 0.9539, 0.9547, 0.9554, 0.9559, 0.9574, 0.9592, 0.9595, 0.9588, 0.9593, 0.9603, 0.961, 0.9613, 0.9621, 0.9622, 0.9621, 0.9627, 0.9622, 0.9632, 0.9638, 0.9639, 0.9643, 0.9644, 0.9645, 0.9645, 0.9656, 0.9655, 0.9656, 0.9661, 0.9674, 0.9681, 0.9688, 0.9691, 0.9698, 0.9701]]"
4,10,"[[0.1485, 0.1135, 0.1135, 0.1144, 0.1483, 0.1135, 0.1554, 0.1784, 0.1816, 0.2783, 0.4987, 0.6935, 0.7925, 0.838, 0.8612, 0.8746, 0.8869, 0.8918, 0.8982, 0.9055, 0.9076, 0.9117, 0.9148, 0.9198, 0.9214, 0.9251, 0.9272, 0.93, 0.9351, 0.938, 0.9378, 0.9409, 0.9435, 0.9435, 0.9464, 0.9477, 0.9504, 0.9524, 0.9533, 0.9528, 0.9539, 0.9556, 0.9561, 0.957, 0.9594, 0.9596, 0.9596, 0.9615, 0.9624, 0.9625, 0.964, 0.9637, 0.9643, 0.9642, 0.9649, 0.9651, 0.9654, 0.9662, 0.9669, 0.9666, 0.9664, 0.9669, 0.9674, 0.9685, 0.9687, 0.9692, 0.9689, 0.969, 0.9693, 0.9698, 0.9695, 0.97]]"
4,31,"[[0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.101, 0.1135, 0.1135, 0.1028, 0.1135, 0.101, 0.1135, 0.1135, 0.1135, 0.2803, 0.6696, 0.8224, 0.8707, 0.8909, 0.9035, 0.9109, 0.9165, 0.9208, 0.9263, 0.9297, 0.9364, 0.9392, 0.9406, 0.9445, 0.9482, 0.9499, 0.9517, 0.9527, 0.9562, 0.9564, 0.9598, 0.9612, 0.9613, 0.9627, 0.9639, 0.9651, 0.9652, 0.9663, 0.9669, 0.9685, 0.9683, 0.97]]"
4,100,"[[0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1145, 0.1135, 0.3716, 0.7053, 0.8297, 0.8768, 0.8927, 0.9, 0.9145, 0.923, 0.9275, 0.9338, 0.9416, 0.9442, 0.9473, 0.9507, 0.9552, 0.9564, 0.9598, 0.9623, 0.9634, 0.9645, 0.9651, 0.9665, 0.9677, 0.9699, 0.9701]]"
16,5,"[[0.1135, 0.1135, 0.1135, 0.1135, 0.101, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.101, 0.1135, 0.101, 0.1135, 0.1135, 0.101, 0.1135, 0.1135, 0.1135, 0.1253, 0.1135, 0.101, 0.1135, 0.1135, 0.1211, 0.2787, 0.5865, 0.7906, 0.8406, 0.8645, 0.8765, 0.8838, 0.8892, 0.8934, 0.8962, 0.899, 0.9022, 0.9045, 0.9058, 0.9086, 0.9088, 0.9123, 0.9126, 0.9151, 0.9172, 0.9191, 0.922, 0.9245, 0.9263, 0.9272, 0.9282, 0.9295, 0.9308, 0.932, 0.9346, 0.9347, 0.9358, 0.9367, 0.939, 0.9401, 0.9409, 0.9426, 0.9437, 0.9449, 0.9457, 0.9453, 0.9458, 0.9461, 0.9464, 0.9483, 0.9487, 0.9497, 0.9505, 0.9514, 0.9519, 0.9519, 0.9523, 0.9522, 0.9531, 0.9534, 0.9538, 0.955, 0.9551, 0.9554, 0.9562, 0.9556, 0.9559, 0.9562, 0.9575, 0.9573, 0.9572, 0.9577, 0.9583, 0.9582, 0.9585, 0.9581, 0.9594, 0.9583, 0.9592, 0.9594, 0.9593, 0.9602, 0.9605, 0.9606, 0.9615, 0.9611, 0.9606, 0.9613, 0.9609, 0.962, 0.962, 0.9625, 0.9626, 0.9628, 0.9642, 0.9643, 0.9637, 0.9642, 0.9646, 0.9651, 0.9652, 0.9653, 0.965, 0.9655, 0.9648, 0.9647, 0.9653, 0.9658, 0.9656, 0.966, 0.966, 0.9656, 0.9654, 0.9652, 0.9648, 0.9653, 0.965, 0.965, 0.9649, 0.9652, 0.9661, 0.9659, 0.9662, 0.966, 0.9662, 0.9657, 0.9661, 0.9664, 0.9664, 0.9661, 0.9665, 0.9669, 0.9674, 0.9664, 0.9668, 0.9666, 0.9675, 0.9676, 0.9673, 0.9681, 0.9685, 0.9676, 0.9671, 0.9674, 0.9673, 0.9678, 0.968, 0.9686, 0.9683, 0.9675, 0.9679, 0.9686, 0.9681, 0.9674, 0.9679, 0.968, 0.9675, 0.9673, 0.9669, 0.9675, 0.9673, 0.967, 0.9667, 0.9665, 0.967, 0.9675, 0.9677, 0.968, 0.9678, 0.9681, 0.9683, 0.9679, 0.968, 0.9682, 0.9683, 0.9682, 0.9682, 0.9677, 0.9679, 0.9684, 0.9683, 0.9682, 0.9686, 0.9689, 0.9683, 0.9685, 0.9681, 0.9683, 0.9685, 0.9684, 0.9697, 0.9686, 0.9688, 0.9682, 0.969, 0.9685, 0.9683, 0.9693, 0.9695, 0.9699, 0.9693, 0.9691, 0.9691, 0.9699, 0.9696, 0.97]]"
16,10,"[[0.1135, 0.1028, 0.098, 0.1135, 0.1135, 0.1028, 0.1083, 0.1147, 0.1255, 0.2104, 0.2588, 0.3536, 0.4936, 0.6679, 0.7783, 0.8189, 0.8394, 0.8584, 0.8696, 0.8782, 0.8851, 0.8896, 0.8968, 0.9009, 0.9039, 0.9089, 0.9106, 0.9142, 0.9173, 0.9198, 0.9228, 0.9252, 0.9284, 0.9316, 0.9331, 0.936, 0.9372, 0.9381, 0.9406, 0.9407, 0.9423, 0.944, 0.945, 0.9459, 0.9476, 0.9486, 0.9494, 0.9518, 0.9518, 0.9533, 0.9535, 0.9539, 0.9538, 0.9544, 0.9558, 0.9555, 0.9561, 0.9573, 0.9581, 0.9589, 0.9593, 0.9599, 0.9596, 0.9604, 0.9603, 0.9612, 0.9615, 0.9622, 0.9633, 0.9634, 0.9634, 0.9644, 0.9644, 0.9642, 0.9651, 0.9658, 0.9656, 0.9661, 0.9658, 0.9667, 0.9667, 0.967, 0.9678, 0.9681, 0.9677, 0.9682, 0.9682, 0.9682, 0.9688, 0.9689, 0.9689, 0.969, 0.9686, 0.97]]"
16,31,"[[0.1135, 0.1135, 0.1135, 0.1135, 0.1028, 0.1135, 0.1136, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1028, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.2696, 0.5817, 0.7886, 0.8548, 0.8767, 0.8908, 0.8993, 0.9062, 0.9125, 0.9166, 0.9224, 0.9272, 0.9292, 0.9314, 0.9353, 0.9394, 0.9418, 0.9439, 0.9461, 0.9468, 0.9486, 0.9506, 0.9528, 0.9532, 0.9551, 0.9563, 0.9573, 0.959, 0.9597, 0.9601, 0.9609, 0.9618, 0.963, 0.9632, 0.9639, 0.9654, 0.9652, 0.9653, 0.967, 0.9668, 0.9668, 0.9672, 0.9672, 0.9674, 0.9682, 0.9682, 0.9694, 0.969, 0.9686, 0.9692, 0.9694, 0.9693, 0.9706]]"
16,100,"[[0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.2364, 0.6273, 0.8103, 0.8577, 0.8806, 0.8914, 0.9022, 0.9121, 0.9188, 0.9246, 0.9279, 0.9327, 0.9371, 0.9407, 0.9429, 0.9457, 0.9483, 0.9497, 0.9536, 0.9564, 0.9582, 0.9609, 0.9622, 0.9628, 0.9635, 0.9651, 0.9649, 0.9651, 0.968, 0.9688, 0.969, 0.9705]]"
