bl,iters,std
1,0,0.39442890882492065
1,10,0.37654605507850647
1,100,0.23463279008865356
1,250,0.08443832397460938
1,500,0.012198278680443764
1,750,0.010434046387672424
1,1000,0.010414879769086838
10,0,0.39474818110466003
10,10,0.3023972809314728
10,100,0.03960056230425835
10,250,0.014064844697713852
10,500,0.01395140029489994
10,750,0.013981705531477928
10,1000,0.013989755883812904
31,0,0.39439907670021057
31,10,0.3576783835887909
31,100,0.15980474650859833
31,250,0.04803603142499924
31,500,0.013244702480733395
31,750,0.011464456096291542
31,1000,0.011416343972086906